delays,rank,median_abs_gap,median_signed_gap,fraction_preceding,fraction_within_0p10,fraction_within_0p25,event_recall,event_precision,event_accuracy,event_f1,chamfer_distance,mean_linear_r2,min_linear_r2,max_linear_r2
150,11,0.048,0.0,0.6429,0.6429,0.6429,0.6429,0.2535,0.8801,0.3636,0.2352,0.9382,0.3862,1.0
100,13,0.0585,-0.005,0.6429,0.6429,0.6429,0.6429,0.225,0.877,0.3333,0.2441,0.9497,0.3968,1.0
150,13,0.0275,0.0,0.6429,0.6071,0.6071,0.6071,0.2208,0.8872,0.3238,0.274,0.9493,0.3957,1.0
150,9,0.0585,-0.025,0.7143,0.6786,0.7143,0.5,0.2373,0.8821,0.3218,0.2152,0.9171,0.3425,1.0
100,11,0.0775,-0.023,0.6429,0.6071,0.6429,0.3929,0.1528,0.8709,0.22,0.2543,0.9382,0.3827,1.0
50,13,0.087,-0.0335,0.6429,0.6071,0.6429,0.25,0.0854,0.8653,0.1273,0.2636,0.95,0.4001,1.0
100,9,0.0885,-0.062,0.7857,0.6071,0.7857,0.1786,0.0794,0.8653,0.1099,0.2236,0.9173,0.3394,1.0
150,7,0.0855,-0.0585,0.7857,0.6071,0.7857,0.1429,0.0784,0.869,0.1013,0.2239,0.889,0.3419,1.0
50,11,0.1045,-0.0515,0.6786,0.4643,0.6786,0.1429,0.0541,0.8564,0.0784,0.2389,0.9382,0.3816,1.0
50,7,0.1405,-0.1155,0.8214,0.2143,0.8214,0.0357,0.0185,0.8442,0.0244,0.2328,0.8887,0.3322,1.0
50,9,0.117,-0.09,0.7857,0.3929,0.7857,0.0,0.0,0.8513,0.0,0.245,0.9171,0.3368,1.0
100,7,0.1145,-0.0885,0.7857,0.3929,0.7857,0.0,0.0,0.8534,0.0,0.2468,0.8893,0.3377,1.0
50,5,0.168,-0.1655,0.9643,0.0357,0.7857,0.0,0.0,0.8398,0.0,0.3159,0.8035,0.2141,1.0
100,5,0.1415,-0.139,0.9643,0.1786,0.8214,0.0,0.0,0.8447,0.0,0.2766,0.8029,0.2138,0.9995
150,5,0.114,-0.1115,0.9643,0.3929,0.8571,0.0,0.0,0.8545,0.0,0.2505,0.8005,0.2118,0.9976
